code,port_name,4,5,6,7,8,9,10,11,12,13,14
,,16500,35000,37000,45000,70000,70000,90000,110000,170000,205000,-1
,,liquid,chemical,bulk,chemical,oil,bulk,bulk,oil,bulk,bulk,oil
,PANAMA,,,,220000,,,,,,,
IRABD,ABADAN,"19,774",,,,"55,094",,,,,,
SVAQJ,ACAJUTLA,,"9,248",,"67,096",,,,,,,
AUADL,ADELAIDE SA,,,,"28,635",,,,,,,
YEADE,ADEN,,,,,"19,137",,,,,,
AUALH,ALBANY WA,,,,"35,923",,,,,,,
TR002,ALIAGA,"19,967",,,,,,,,,,
MXATM,ALTAMIRA MEXICO,,"21,341",,"30,391",,,,,,,
NLAMS,AMSTERDAM,,,,,"56,803",,,,,,
VEVMY,AMUAY,,,,"79,573",,,,,,,
TWAP1,ANPING,,"7,110",,"9,534",,,,,,,
KR004,ANSAN,,,,"19,043","21,047",,,,,,
BEANR,ANTWERPEN,"48,476",,,,,,,,,,
INANY,ANYER，INDONESIA,"13,184",,,"19,079","21,856",,,,,,
BHBAH,BAHRAIN,,"9,210",,,"19,530",,,,,,
PHBLA,BALANGA/BATAN,,,,"26,633",,,,,,,
PABLB,BALBOA,,"74,200",,"112,510",,,,,,,
IDBLG,BALONGAN,,,,,,,,,,,
IRBND,BANDAR ABBAS,,,,"54,285",,,,,,,
IRBKM,BANDAR KHOMEINI,,,,,"48,044",,,,,,
IRBMR,BANDAR MASHUR,,,,"68,043","108,173",,,,,,
IDBDJ,BANJARMASIN,,"16,596","6,072",,,,,,,,
IQBSR,BASRA,,,,,,,,,,,"138,803"
PHBTN,BATAAN MARIVELES,,,,"38,987","50,120",,,,,,
USBTR,BATON ROUGE,,"51,343",,"60,233",,,,,,,
PHBAU,BAUAN/BATANGAS,,"19,875",,"23,545","34,015",,,,,,
CN405,BAYUQUAN,,"12,601",,,,,,,,,
USBPT,BEAUMONT,,"19,979",,"22,752","24,894",,,,,,
IRBIK,BIK IRAN,"31,120","23,533",,,"50,273",,,,,,
GWBOL,BOLAMA,,,,,,,,,,,"15,000"
IDBON,BONTANG,,,"29,131",,,"33,591","38,138",,,,
AUBTB,BOTANY BAY NS,,,,"41,907",,,,,,,
AUBNE,BRISBANE,,,,"29,784",,,"54,606",,,,
USBRO,BROWNSVILLE,,,,"54,781",,,,,,,
COBUN,BUENAVENTURA,,"15,180",,"18,006",,,,,,,
AUBUY,BUNBURY WA,,,,"27,256",,,,,,,
AUCNS,CAIRNS QL,,,,"41,160",,,,,,,
PECLL,CALLAO,,"20,086",,"36,306",,,,,,,
INCAM,CAMBAY,,,,,"32,356",,,,,,
,CARVILLE,,,,,,,,,,,
VN006,CAT LAI PORT,,,,"23,729",,,,,,,
PHCEB,CEBU,,,,"11,095",,,,,,,
INCBL,CHANDBALI,,,,"24,485",,,,,,,
IN003,CHENNAI,,,,"37,720","48,941",,,,,,
JPCHB,CHIBA,,,,"43,697","57,904",,,,,,
JPCTA,CHITA,,,,"30,332","37,111",,,,,,
BDCGP,CHITTAGONG,,,,"21,884",,,,"35,926",,,
VICTD,CHRISTIANSTED， ST. CROIX,,,,"38,743",,,,,,,
PACTB,CHRISTOBAL,,"71,560",,"116,561",,,,,,,
IDCXP,CILACAP JAVA,,,,"23,675",,,,,,,
MXCOA,COATZACOALCOS， VER,,"28,005",,"33,455",,,,,,,
INCOK,COCHIN,,,,"43,645",,,,,,,
LKCMB,COLOMBO,,,,"15,728",,,,,,,
NICIO,CORINTO,,"12,255",,,,,,,,,
CLCNL,CORONEL,,,,"66,166",,,,,,,
USCRP,CORPUS CHRISTI,,"21,673",,"27,892",,,,,,,
VNDAD,DA NANG,,,,"22,438",,,,,,,
KR003,DAESAN,,"19,071",,"23,798","33,254",,,"33,794",,,
INDAH,DAHEJ,,,,"35,910",,,,,,,
CNDLC,DALIAN,,"12,660",,"20,017","37,776",,"14,020",,"15,151",,"167,419"
AUDAB,DALRYMPLE BAY,,,,"5,214",,,,,"97,766",,
INDAM,DAMAN,,,,"15,391",,,,,,,
AUDAM,DAMPIER,,,,"25,699",,,,,,,
TZDAR,DAR ES SALAAM,,,,"40,872",,,,,,,
AUDRW,DARWIN,,,,"59,503",,,,,,,
AEDAS,DAS ISLAND,,,,,"18,452",,,,,,
SADAS,DAS ISLAND,,,,,"15,175",,,,,,
,DONGGUAN,,,,,,,,,,,
AEDXB,DUBAI,,"2,200",,,,,,,,,
IDDUM,DUMAI SUMATRA,,"26,052",,"29,495",,,,,,,
ZADUR,DURBAN,,,,,"34,829",,,,,,
VEEGU,EL GUAMACHE,,,,"29,325",,,,,,,
ECESM,ESMERALDAS,,,,"34,689",,,,,,,
USFEP,FREE PORT,,"13,736",,"19,977",,,,,,,
AEFJR,FUJAIRAH,"2,637",,,,"16,013",,,,,,"1,434"
USGAT,GALVESTON,,"3,686",,,,,,,,,
AUGEX,GEELONG,,,,"56,054",,,,,,,
AUGLT,GLADSTONE,,,,"31,456",,,,,"93,084",,
AUGOV,GOVE,,,,"31,159",,,,,,,
GUGUM,GUAM,,,,,"26,270",,,,,,
CN057,GUANG DONG,,"16,588",,"19,045",,,,,,,
CN216,GUANGZHOU XINFENG,"8,047","5,650",,"13,487",,,"17,082",,"31,685",,
VNHPH,HAIPHONG,,,,"14,060",,,,,,,
INHAL,HALDIA,,,,"42,110","45,172",,,,,,
DEHAM,HAMBURG,,,,,,,,,"46,136",,
VNSGN,HO CHI MINH CITY,,,,"19,703",,,,,,,
HKHKG,HONG KONG,"1,543","3,124",,"18,503","17,031","3,103","5,358",,"4,951",,"18,124"
VNHON,HONGAI,,,,"18,922",,,,,,,
USHNL,HONOLULU,,"31,236",,,,,,,,,
CN209,HOUSHI,,,,,,,"39,245",,,,
USHOU,HOUSTON,"1,845","34,306",,"38,761",,,,,,,
CNHUA,HUANGPU,,,,"18,140","19,394",,,,,,
CN069,HUIZHOU,,,,"17,473","35,159",,,,,,"122,879"
USHON,HURON,,"26,696",,,,,,,,,
VN003,ICD BIEN HOA DONGNAI VIETNAM,,,,"17,600",,,,,,,
JPIMR,IMARBAI JAPAN,,,,"6,386",,,,,,,
KRICN,INCHON,,"13,393",,"18,325",,,,,,,
JPISG,ISHIGAKI OKINAWA,"1,165","3,929",,"4,941","7,635","4,005","9,545",,"19,764",,
GBIOM,ISLE OF MAN,,,,,"64,180",,,,,,
JPIWK,IWAKUNI YAMAGUCHI,,,,"37,960",,,,,,,
IDJKT,JAKARTA-TANJUNG PRIOK JAVA,,,,"28,833",,,,,,,
AEJEA,JEBEL ALI,,"11,277",,,"32,614",,,,,,
AEJED,JEBEL DHANNA,,,,,,,,,,,"60,135"
SAJED,JEDDAH,,,,,"19,783",,,,,,
CN254,JIANGYIN,,"26,638",,"26,356",,,"27,449",,,,
KRJHE,JINHAE,,,,"10,260",,,,,,,
CN358,JINZHOU,,,,"19,399","32,466",,,,,,
SAJUB,JUBAIL,"11,277","36,765",,,"18,800",,,,,,
USKAL,KALAMA,,"37,388",,"44,029",,,,,,,
INIXY,KANDLA,,"28,747",,"32,183",,,,,,,
TWKHH,KAOHSIUNG,"7,206","6,244","9,969","7,402","10,521","11,622","11,297",,"13,792",,"20,000"
PKKHI,KARACHI,,,,,"42,258",,,,,,
JPKSM,KASHIMA IBARAGI,,,,"21,640","29,790",,,,,,
JPKUR,KATSUURA CHIBA,,,,,,,,,"14,221",,"17,753"
JPKWS,KAWASAKI KANAGAWA,,"31,723",,"33,123","50,420",,,,,,
IDKEQ,KEBAR,,,,"23,646",,,,,,,
TWKEL,KEELUNG,,"4,194",,"5,068",,,"1,562",,,,
MYKEM,KEMAMAN,,,,"12,196",,,,,,,
MY001,KERTEH,,,,"27,817","32,763",,,,,,
IRKHI,KHARG ISLAND,,,,,,,,,,,"115,000"
IRKHK,KHARK ISLAND,,,,,,,,,,,"164,193"
JPKIK,KIKUMA EHIME,,,,"35,654",,,,,,,
CAKTM,KITIMAT BC,,"27,255",,,,,,,,,
JPUKB,KOBE,,"19,154",,"20,532",,,,,,,
THKSI,KOH SICHANG,,,,,"22,036",,,,,,
MYKBR,KOTA BHARU,,,,"25,594",,,,,,,
MYKUA,KUANTAN,"6,554",,,,,,,,,,
KWKWI,KUWAIT,,,,,"16,763",,,,,,
ECLAL,LA LIBERTAD，ECUADOR,,,,"14,130",,,,,,,
MYLBH,LABUAN HADJI SABAH,,,,"14,100",,,,,,,
US017,LAKE CHARLES,,"30,661",,"44,511",,,,,,,
CNLAN,LANSHI,,"11,540",,,,,,,,,
CNLYG,LIANYUNGANG,,"13,820",,,,,,,,,
CLQTV,LONCURA/QUINTERO,,,,"99,136",,,,,,,
USLGB,LONG BEACH,,"16,862",,"14,022",,,,,,,
USLAX,LOS ANGELES,,"20,988",,"23,476",,,,,,,
NZ001,LYTTELTON,,,,"27,324",,,,,,,
AUMKY,MACKAY,,,,"38,222",,,,,,,
TWMAL,MAILIAO,"6,183","6,714",,"8,362","9,622","11,195","16,377","18,110","28,342","32,212","30,407"
MYMKZ,MALACCA,,,,"27,877","31,176",,,,,,
IDMAL,MANGOLE,,,,"19,796",,,,,,,
PHMNL,MANILA,,"7,373",,,,,,,,,
TH004,MAPTAPHUT,"14,299","20,507",,"17,585","23,499",,,,,,
MZMPM,MAPUTO,,,,"22,672",,,,,,,
NZMAP,MARSDEN POINT,,,,"35,797",,,,,,,
AUMEL,MELBOURNE,,,,"39,398",,,,,,,
KWMEA,MENA AL AHMADI,,,,,"15,987",,,,,,"57,018"
IDMRK,MERAK， JAVA,"22,663",,,"23,791",,,,,,,
IDMER,MERAK，INDONESIA,,"16,965",,"30,639",,,,,,,
QAMSA,MESAIEED,"27,613","30,200",,,"34,688",,,"55,957",,,
KWMIB,MINA ABD ALLAH,,,,,"15,624",,,,,,
OMMFH,MIN-AL-FAHAL,,,,,,,,,,,"66,306"
JPMIZ,MIZUSHIMA OKAYAMA,,"36,482",,"53,653","82,666",,,,,,
USMOB,MOBILE,,"33,526",,,,,,,,,
NLMOE,MOERDIJK,"54,145",,,,,,,,,,
KRMPK,MOKPO,,"1,854",,"2,019",,"2,672","1,949",,,,
PKBQM,MUHAMMAD BIN QASIM,,,,,"32,668",,,,,,
INMUM,MUMBAI INDIA,"11,341","38,789",,"54,746",,,,,,,
INMUN,MUNDRA,,,,,"46,387",,,,,,
JPMTR,MUTSURE FUKUOKA,,,,"27,595","30,886",,,,,,
JPNGS,NAGASAKI,,,,"32,678",,,,,,,
JPNGO,NAGOYA,,"31,948",,"31,240",,,,,,,
RUNJK,NAKHODKA,,,,"52,316","70,068",,,,,,
JP002,NAMIKATA,,,,,"86,438",,,,,,
CNNKG,NANJING,,"27,986",,"36,263",,,,,,,
CN018,NANSHA,,"21,279",,,,,,,,,
CNNTG,NANTONG,"17,248","19,512",,"25,458",,,,,,,
NZNPE,NAPIER,,,,"18,083",,,,,,,
INIXE,NEW MANGALORE,,,,"21,067","29,240",,,,,,
USMSY,NEW ORLEANS,,"29,655",,,,,,,,,
NZNPL,NEW PLYMOUTH,,,,"67,319",,,,,,,
AUNTL,NEWCASTLE,,,,"43,542",,,"45,523",,"86,360","127,635",
CNNGB,NINGBO,"11,355","14,592",,"15,829","23,478",,,,,,"136,368"
,NOLA,,,,,,,,,,,
NCNOU,NOUMEA,,,,"23,062",,,,,,,
IDBPN,NPLCT INDONESIA,,,,"29,379",,"35,661","55,867",,,,
JPOIT,OITA,,,,"28,445","57,753",,,,,,
,ONSAN,,,,,,,,,,,"67,800"
JPOSA,OSAKA,,,,"27,493",,,,,,,
IDPDG,PADANG-TELUK BAJUR SUMATRA,,,,"24,980",,,,,,,
MXPJR,PAJARITOS， MEXICO,,"27,141",,"30,728",,,,,,,
INPRT,PARADIP,,,,"27,215","33,975",,,,,,
USPGL,PASCAGOULA,,"11,775",,,,,,,,,
MYPGU,PASIR GUDANG JOHOR PORT,"10,018",,,"15,392","22,760",,,,,,
MYPEN,PENANG (GEORGETOWN),,,,"17,685",,,,,,,
VN004,PHU MY PORT,,"13,276",,"8,429",,,,,,,
US030,POINT COMFORT,,"24,953",,"27,100",,,,,,,
USBMT,PORT ARTHUR,,"24,402",,"25,197",,,,,,,
AUPHE,PORT HEDLAND,,,,"3,745",,,,,,,
MYPKG,PORT KELANG,,"8,074",,"31,784",,,,,,,
AUPKL,PORT KEMBLA,,,,"46,991",,,,,"183,908",,
PGPOM,PORT MORESBY,,,,"34,582",,,,,,,
USPTN,PORT NECHES,,"21,822",,"16,099",,,,,,,
EGPSD,PORT SAID,,,,,"173,904",,,,,,
SDPZU,PORT SUDAN,,,,"54,364",,,,,,,
USPDX,PORTLAND,,,,"42,192",,,,,,,
VEPBL,PUERTO CABELLO,,"25,492",,"22,651",,,,,,,
COPUC,PUERTO COLOMBIA,,,,,,,,,"50,358",,
HNPCR,PUERTO CORTES,,"17,441",,,,,,,,,
CRLIO,PUERTO LIMON,,"14,054",,,,,,,,,
GTPTQ,PUERTO QUETZAL,,"9,023",,"9,110",,,,,,,
MYPLK,PULAU LANGKAWI,,,,,"25,854",,,,,,
IDPSS,PULAU SAMBU RIAU,,,,"17,401",,,,,,,
CRPUM,PUNTAMORALES,,"19,897",,,,,,,,,
KR002,PYUNGTAEK,,"14,538",,"27,621",,,,,,,
CNTAO,QINGDAO,,"11,665",,"13,478","41,889",,"9,689",,"21,639",,"126,151"
CN203,QUANZHOU,,,,,,,"59,819",,"32,328",,"201,497"
SARAB,RABIGH,"17,290",,,,"22,591",,,,,,
THUNN,RANONG,"9,911",,,"22,274","27,643",,,,,,"87,291"
KWRAK,RAS AL-KHAFJI,,,,,,,,,,,"36,481"
QARLF,RAS LAFFAN,,,,,"58,428",,,,,,"67,000"
SARTA,RAS TANURA,,,,,"9,369",,,,,,"29,193"
ZARCB,RICHARDS BAY,,,,,,,,,"56,854","40,682",
USRCH,RICHMOND,,"47,693",,,,,,,,,
CNRIZ,RIZHAO,,,,,,,,,"1,877",,
NLRTM,ROTTERDAM,,,,,"71,135",,,,,,
AERUW,RUWAIS,,,,,"11,614",,,"24,110",,,
JPSAE,SAEKI OITA,,,"1,584",,,,,,,"6,922",
MPSPN,SAIPAN,,,,"21,259",,,,,,,
JPSAK,SAKAI OSAKA,,,,"38,762","58,538",,,"119,002",,,
OMSLL,SALALAH,,"12,255",,,,,,,,,
IDSRI,SAMARINDA KALIMANTAN,,,"6,922",,,"7,494","15,076",,"16,680",,
USSFO,SAN FRANCISCO,,"36,404",,,,,,,,,
GTSNJ,SAN JOSE,,,,"24,037",,,,,,,
VESLV,SAN LORENZO/MARACAIBO L,,,,"59,092",,,,,,,
CLSVE,SAN VICENTE,,,,"53,668",,,,,,,
CNSHG,SANSHAN,,,,"7,478",,,,,"9,614",,
ESSDR,SANTANDER,,,,"14,048",,,,,,,
GTSTC,SANTO TOMAS DE CASTILLA (M.,,"9,150",,,,,,,,,
BRSSZ,SANTOS,,,,"32,858",,,,,,,
JPSSB,SASEBO NAGASAKI,,,,"28,447",,,,"4,652",,,
,SAVANNAH,,,,,,,,,,,
IDSRG,SEMARANG JAVA,,,,"21,572",,,,,,,
JPSDJ,SENDAI MIYAGI,,,,"31,074",,,,,,,
CNSHA,SHANGHAI,"4,923","11,940",,"21,137","56,599",,,,"23,623",,
CNSHE,SHENYANG,,,,"12,842",,,,,,,
JPSMT,SHIMOTSU WAKAYAMA,,,,"30,131","30,896",,,,,,
KWSAA,SHUAIBA,,"15,707",,,"14,481",,,,,,
CN102,SHUIDONG,,,,,,,,,,,"286,880"
INSIK,SIKA,,,,"31,725","38,902",,,,,,
SGSIN,SINGAPORE,"3,036","4,833",,"16,437","17,724",,,,"3,799","2,718","23,834"
IRSXI,SIRRI ISLAND,"23,035","28,853",,,"45,715",,,,,,
BHSIT,SITRA,,,,,"16,507",,,,,,
DZSKI,SKIKDA,,,,,"53,486",,,,,,
RUSKA,SLAVYANKA,,,,"36,026",,,,,,,
OMSOH,SOHAR,,,,"15,095","20,709",,,,,,
GBSOU,SOUTHAMPTON,,,,,"77,273",,,,,,
THSRI,SRIRACHA,,,,"6,587","13,949",,,,,,"37,551"
VISTX,ST CROIX,,"16,692",,"7,561",,,,,,,
,ST GABRIEL,,,,,,,,,,,
TWSUO,SUAO,,"4,807","8,169","6,768",,"10,828","18,893",,,,
PHSFS,SUBIC BAY,,,,"17,473",,,,,,,
EGSUZ,SUEZ,"127,581",,,"38,375","104,657",,,,,,
IDSUB,SURABAYA-TANJUNG PERAK JAVA,,,,"25,605",,,,,,,
FJSUV,SUVA,,,,"25,809",,,,,,,
AUSYD,SYDNEY,,,,"41,437",,,,,,,
CN353,TAICANG,,"18,772",,"20,582",,,,,,,
TWTXG,TAICHUNG,,"7,500","9,695","9,864","13,691","13,018","17,666",,"25,131",,
TWTPE,TAIPEI,,"4,986","7,115",,,"13,321","16,540",,,,
,TAIXING,,,,,,,,,,,
CNTZO,TAIZHOU,,"20,868",,,,,,,,,
IDTMH,TANAH MERAH KALIMANTAN,,,,"9,306","14,909",,,,,,
MYTKP,TANJONG KUPANG,,,,"24,360","38,486",,,,,,
MYTPP,TANJONG PELEPAS,,,,,"24,370",,,,,,
,TANJUNG BARA,,,,"17,231",,"8,317","9,981",,,,
IDTJQ,TANJUNG PANDAN BELITUNG,,,,"19,909",,,,,,,
IDTNJ,TANJUNG PINANG RIAU,,,,"5,932",,,,,,,
IDTJU,TANJUNG UBAN,,,,"12,128",,,,,,,
IDTAN,TANJUNG UBAN RIAU,,,,"17,231",,"8,317","9,981",,,,
IDTRK,TARAKAN KALIMANTAN,,,,,,"19,718",,,"30,030",,
NZTRG,TAURANGA,,,,"27,292",,,,,,,
USTXT,TEXAS CITY,,"16,088",,,,,,,,,
,TIANJIN,,,,,,,,,,,
NZTIU,TIMARU,,,,"24,203",,,,,,,
JPTKY,TOKUYAMA YAMAGUCHI,,,,"51,781","66,431",,,,,,
JPTMK,TOMAKOMAI,,,,,,,,,,,"192,460"
AUTSV,TOWNSVILLE,,,,"16,713",,,,,,,
TTTRI,TRINIDAD & TOBAGO,,"13,965",,,,,,,,,
JPTSU,TSU MIE,,,,,,,,,,"31,196",
IDTUB,TUBAN,,,,"23,610",,,,,,,
MXTUX,TUXPAN， JER,,"30,024",,,,,,,,,
KRUSN,ULSAN,"23,079","16,267",,"22,464","25,639",,,"35,592",,,
INVAD,VADINAR,,,,"20,702","21,977",,,,,,
CAYVR,VANCOUVER APT BC,,"34,402",,"56,884",,,,,,,
US072,VANCOUVER WA,,"36,253",,"50,809",,,,,,,
RUVNN,VANINO,,,,,,"45,298","70,999",,,,
MXVER,VERACRUZ,,"25,529",,"28,501",,,,,,,
INVTZ,VISAKHAPATNAM,,,,,"37,047",,,,,,
IN005,VIZAK,,,,"24,691","29,776",,,,,,
RUVYP,VOSTOCHNIY,,,"42,109",,,,,,,,
VNVNT,VUNG-TAU，VIETNAM,,,,"19,647",,,,,,,
JPWAK,WAKAYAMA,,,,"36,577",,,,,,,
IDWMX,WAMENA,,,,"38,511",,,,,,,
NZWLG,WELLINGTON,,,,"26,331",,,,,,,
US116,WILMINGTON NC,,"26,417",,,,,,,,,
CNXMN,XIAMEN,,"13,287",,"16,977","24,161",,,,,,
SAYNB,YANBU,,,,,"16,019",,,,,,
CN408,YANGPU PORT,,,,"16,605",,,,,,,
CNYNT,YANTAI,,"18,641",,"22,241",,,,,,,
JPYKK,YOKKAICHI MIE,,,,"38,323","58,097",,,,,,
JPYOK,YOKOHAMA,,"11,384",,"18,776","32,056",,,,,,
KRRSU,YOSU,,"14,802",,"23,940","33,559",,,"72,366",,,
CNCJG,ZHANGJIAGANG,,"26,379",,"25,638",,,,,,,
CNZZO,ZHANGZHOU,,,,,,,,,,,
CN004,ZHANJIANG,,,,"16,139","54,908",,,,,,"162,105"
CNZHA,ZHENJIANG DAGANG PORT,,"30,263",,"19,067",,,,,,,
CNZSN,ZHONGSHAN,,,,,,,,,"18,758",,
CN264,ZHOUSHAN PORT,"5,720","13,500",,"26,799","37,576",,,,"26,102",,"170,348"
CNZUH,ZHUHAI,,"10,745",,"21,398","40,817",,,,,,
CNTXG,ZINGANG XINGANG,"12,927","19,463",,"21,808",,,"26,379",,,,
AEZIR,ZIRKU ISLAND,,,,,,,,,,,"65,943"
CN361,泰興 ( 江蘇 ),,,,"38,231",,,,,,,
